timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
1024.0,6.592275619506836,4.0,0.0,0.0,0.0,115.0,114.0,113.0
2048.0,8.365121603012085,8.0,2.0,0.75,0.0,210.0,144.375,113.0
3072.0,10.13049030303955,13.0,2.0,0.9230769230769231,0.0,212.0,154.6153846153846,113.0
4096.0,11.980086088180542,21.0,5.0,1.2857142857142858,0.0,306.0,167.76190476190476,111.0
5120.0,13.773357152938843,28.0,5.0,1.2142857142857142,0.0,306.0,163.25,109.0
6144.0,15.562819957733154,32.0,5.0,1.125,0.0,306.0,158.8125,109.0
7168.0,17.441094160079956,38.0,5.0,1.394736842105263,0.0,306.0,169.42105263157896,109.0
8192.0,19.33289861679077,43.0,5.0,1.525,0.0,333.0,175.225,109.0
9216.0,21.078601121902466,47.0,5.0,1.7,0.0,333.0,182.2,109.0
10240.0,22.84856152534485,53.0,5.0,1.75,0.0,333.0,183.875,109.0
11264.0,24.660921096801758,61.0,5.0,1.6,0.0,333.0,177.0,109.0
12288.0,26.37534189224243,66.0,5.0,1.475,0.0,333.0,171.775,111.0
13312.0,28.055617094039917,72.0,6.0,1.725,0.0,379.0,183.075,111.0
14336.0,29.839816570281982,75.0,8.0,1.8,0.0,379.0,183.875,111.0
15360.0,31.811525106430054,80.0,8.0,1.675,0.0,379.0,179.575,111.0
16384.0,33.6558141708374,85.0,9.0,2.05,0.0,390.0,190.4,111.0
17408.0,35.464558362960815,91.0,9.0,1.95,0.0,390.0,187.375,111.0
18432.0,37.299296140670776,97.0,9.0,1.95,0.0,415.0,187.975,111.0
19456.0,39.25345802307129,103.0,9.0,2.1,0.0,415.0,192.825,111.0
20480.0,41.14981245994568,108.0,9.0,2.25,0.0,415.0,196.825,111.0
21504.0,42.912705183029175,113.0,9.0,2.15,0.0,415.0,191.425,111.0
22528.0,44.69684052467346,116.0,9.0,2.25,0.0,415.0,195.8,111.0
23552.0,46.514875650405884,124.0,9.0,1.975,0.0,415.0,187.85,111.0
24576.0,48.37814235687256,130.0,9.0,2.0,0.0,415.0,186.925,111.0
25600.0,50.37382483482361,135.0,9.0,1.9,0.0,390.0,182.45,111.0
26624.0,52.23470211029053,139.0,9.0,2.075,0.0,390.0,190.45,111.0
27648.0,53.98716354370117,143.0,9.0,2.175,0.0,390.0,198.375,111.0
28672.0,55.74673056602478,146.0,9.0,2.375,0.0,390.0,203.575,111.0
29696.0,57.530569076538086,153.0,9.0,2.575,0.0,387.0,212.65,111.0
30720.0,59.356115102767944,158.0,9.0,2.4,0.0,387.0,205.4,111.0
31744.0,61.13376045227051,162.0,9.0,2.2,0.0,387.0,196.55,111.0
32768.0,62.91233038902283,167.0,9.0,2.575,0.0,390.0,210.175,111.0
33792.0,64.79559898376465,174.0,11.0,2.85,0.0,489.0,219.425,111.0
34816.0,66.69195199012756,180.0,11.0,2.6,0.0,489.0,208.025,111.0
35840.0,68.54147982597351,184.0,11.0,2.275,0.0,489.0,196.075,111.0
36864.0,70.29889726638794,189.0,11.0,2.425,0.0,489.0,202.15,111.0
37888.0,72.23043847084045,194.0,11.0,2.225,0.0,489.0,196.275,111.0
38912.0,74.06842803955078,200.0,11.0,2.45,0.0,489.0,201.3,111.0
39936.0,75.87371373176575,205.0,11.0,2.175,0.0,489.0,191.0,111.0
40960.0,77.6060540676117,210.0,11.0,2.375,0.0,489.0,199.8,111.0
41984.0,79.36329746246338,215.0,9.0,2.225,0.0,390.0,195.725,111.0
43008.0,81.01990914344788,219.0,9.0,2.375,0.0,390.0,202.9,111.0
44032.0,82.79523158073425,226.0,9.0,2.5,0.0,390.0,208.525,111.0
45056.0,84.6497528553009,230.0,8.0,2.225,0.0,367.0,198.6,113.0
46080.0,86.47650718688965,233.0,8.0,2.275,0.0,367.0,201.275,113.0
47104.0,88.28364157676697,234.0,8.0,2.275,0.0,367.0,201.275,113.0
48128.0,90.07848405838013,240.0,10.0,2.925,0.0,437.0,223.075,113.0
49152.0,91.80930519104004,244.0,10.0,3.25,0.0,437.0,233.125,113.0
50176.0,93.63354206085205,248.0,10.0,3.25,0.0,437.0,233.625,113.0
51200.0,95.48190784454346,252.0,11.0,3.525,0.0,440.0,241.375,113.0
52224.0,97.25308537483215,256.0,11.0,3.475,0.0,440.0,239.875,113.0
53248.0,98.95004224777222,261.0,12.0,3.9,0.0,508.0,246.575,113.0
54272.0,100.61915326118469,264.0,12.0,4.15,0.0,508.0,255.475,113.0
55296.0,102.4198694229126,268.0,12.0,4.2,0.0,508.0,257.5,113.0
56320.0,104.16041898727417,274.0,12.0,4.425,0.0,508.0,265.95,113.0
57344.0,105.7713520526886,276.0,12.0,4.175,0.0,508.0,258.725,113.0
58368.0,107.4568099975586,281.0,12.0,3.775,0.0,508.0,249.575,113.0
59392.0,109.30462145805359,283.0,12.0,3.6,0.0,508.0,245.625,113.0
60416.0,111.09900426864624,286.0,12.0,3.95,0.0,508.0,261.325,113.0
61440.0,112.83086252212524,289.0,12.0,3.975,0.0,508.0,262.275,113.0
62464.0,114.49554395675659,294.0,12.0,4.375,0.0,508.0,272.675,113.0
63488.0,116.13636231422424,297.0,12.0,4.425,0.0,508.0,272.375,113.0
64512.0,117.89351177215576,300.0,9.0,4.425,0.0,483.0,274.15,113.0
65536.0,119.4470386505127,303.0,16.0,4.6,0.0,496.0,280.3,113.0
66560.0,121.05291891098022,309.0,16.0,4.875,0.0,545.0,289.025,113.0
67584.0,122.76536107063293,314.0,16.0,4.65,0.0,545.0,278.1,113.0
68608.0,124.44261312484741,316.0,16.0,4.975,0.0,545.0,288.675,113.0
69632.0,126.27764916419983,321.0,16.0,5.0,0.0,545.0,286.9,113.0
70656.0,128.04642271995544,323.0,16.0,5.05,0.0,545.0,288.275,113.0
71680.0,129.82166004180908,328.0,16.0,4.65,0.0,545.0,272.55,113.0
72704.0,131.42474913597107,331.0,16.0,4.75,0.0,545.0,273.0,113.0
73728.0,133.0591266155243,333.0,16.0,4.75,0.0,545.0,273.775,113.0
74752.0,134.77871108055115,335.0,16.0,4.725,0.0,545.0,276.9,113.0
75776.0,136.6045868396759,339.0,16.0,5.075,0.0,545.0,290.175,113.0
76800.0,138.48979544639587,342.0,13.0,4.875,0.0,545.0,287.025,113.0
77824.0,140.3196005821228,347.0,12.0,5.025,0.0,506.0,290.25,113.0
78848.0,141.9663107395172,350.0,12.0,5.1,1.0,506.0,292.95,141.0
79872.0,143.61043882369995,354.0,12.0,5.25,1.0,506.0,296.2,141.0
80896.0,145.1568887233734,356.0,12.0,5.025,1.0,506.0,290.1,141.0
81920.0,146.80944180488586,358.0,16.0,5.325,1.0,592.0,299.125,141.0
82944.0,148.613098859787,362.0,16.0,5.825,1.0,592.0,318.15,141.0
83968.0,150.55159449577332,366.0,16.0,6.175,1.0,592.0,321.725,141.0
84992.0,152.39924955368042,370.0,16.0,6.275,0.0,592.0,321.9,113.0
86016.0,154.17578172683716,373.0,16.0,6.225,0.0,592.0,318.65,113.0
87040.0,155.9580113887787,376.0,16.0,6.0,0.0,592.0,314.5,113.0
88064.0,157.76363015174866,381.0,16.0,5.675,0.0,592.0,302.4,113.0
89088.0,159.47986435890198,384.0,16.0,5.6,0.0,592.0,301.775,113.0
90112.0,161.3180742263794,388.0,16.0,5.375,0.0,592.0,291.3,113.0
91136.0,163.19241619110107,392.0,16.0,5.475,0.0,592.0,298.775,113.0
92160.0,164.93023300170898,395.0,16.0,5.8,0.0,592.0,299.45,113.0
93184.0,166.67110919952393,398.0,14.0,5.7,0.0,547.0,295.525,113.0
94208.0,168.4582018852234,402.0,12.0,5.475,0.0,473.0,280.525,113.0
95232.0,170.13064908981323,405.0,12.0,5.55,0.0,514.0,288.75,113.0
96256.0,171.91880464553833,408.0,12.0,5.275,0.0,514.0,282.475,113.0
97280.0,173.69385766983032,410.0,13.0,5.675,2.0,514.0,291.425,171.0
98304.0,175.3804416656494,413.0,13.0,5.55,2.0,514.0,283.8,171.0
99328.0,177.09305143356323,418.0,17.0,6.425,2.0,579.0,306.025,171.0
100352.0,178.860333442688,421.0,17.0,6.775,2.0,579.0,312.95,171.0
101376.0,180.76316714286804,425.0,17.0,6.6,1.0,579.0,305.35,141.0
102400.0,182.4874017238617,427.0,17.0,6.6,1.0,579.0,305.775,141.0
103424.0,184.25524806976318,430.0,17.0,6.875,1.0,579.0,311.0,141.0
104448.0,185.87159991264343,434.0,17.0,6.925,1.0,579.0,317.55,141.0
105472.0,187.42643356323242,435.0,17.0,6.95,1.0,579.0,321.975,141.0
106496.0,189.16477608680725,438.0,17.0,6.95,1.0,579.0,318.05,141.0
107520.0,190.81714010238647,441.0,17.0,7.275,1.0,579.0,329.9,141.0
108544.0,192.38963341712952,445.0,17.0,7.3,1.0,579.0,328.9,141.0
109568.0,194.061753988266,447.0,17.0,7.6,1.0,579.0,331.9,141.0
110592.0,195.69122791290283,450.0,17.0,7.375,1.0,579.0,328.45,141.0
111616.0,197.59910917282104,454.0,17.0,7.525,1.0,579.0,336.2,141.0
112640.0,199.34077787399292,456.0,16.0,7.525,1.0,561.0,337.45,141.0
113664.0,201.157812833786,460.0,16.0,7.25,1.0,561.0,330.55,141.0
114688.0,202.84936237335205,462.0,16.0,7.075,1.0,561.0,331.15,141.0
115712.0,204.54197216033936,466.0,16.0,7.525,1.0,561.0,342.05,141.0
116736.0,206.21839570999146,468.0,16.0,7.8,2.0,561.0,345.675,192.0
