timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,12.552737474441528,185.0,9.0,1.2799999713897705,0.0,229.0,75.12,23.0
32768.0,21.576955318450928,378.0,6.0,1.340000033378601,0.0,181.0,79.83,24.0
49152.0,30.672377586364746,575.0,10.0,1.600000023841858,0.0,180.0,86.09,28.0
65536.0,39.4383430480957,761.0,14.0,2.2899999618530273,0.0,306.0,87.83,35.0
81920.0,48.39960980415344,946.0,16.0,1.9900000095367432,0.0,249.0,85.34,25.0
98304.0,57.151089668273926,1136.0,14.0,2.200000047683716,0.0,222.0,87.17,19.0
114688.0,66.06453013420105,1308.0,9.0,2.2899999618530273,0.0,240.0,88.15,29.0
131072.0,74.8227469921112,1500.0,13.0,2.7799999713897705,0.0,169.0,88.53,28.0
147456.0,83.637366771698,1679.0,15.0,2.640000104904175,0.0,208.0,92.16,31.0
163840.0,92.46951699256897,1848.0,15.0,2.7799999713897705,0.0,207.0,95.59,32.0
180224.0,101.11713528633118,2018.0,13.0,2.5399999618530273,0.0,197.0,93.42,37.0
196608.0,109.765695810318,2192.0,13.0,3.0899999141693115,0.0,258.0,99.4,45.0
212992.0,118.58787941932678,2362.0,11.0,2.869999885559082,0.0,216.0,91.99,39.0
229376.0,127.31575107574463,2533.0,12.0,2.6600000858306885,0.0,197.0,98.83,28.0
245760.0,135.95975375175476,2692.0,18.0,3.25,0.0,226.0,100.52,47.0
262144.0,144.81518459320068,2860.0,13.0,2.9200000762939453,0.0,264.0,98.65,20.0
278528.0,153.54500102996826,3028.0,18.0,3.5799999237060547,0.0,298.0,100.95,56.0
294912.0,162.31914567947388,3193.0,12.0,3.390000104904175,0.0,237.0,100.63,38.0
311296.0,171.08594608306885,3358.0,13.0,3.430000066757202,0.0,240.0,99.31,26.0
327680.0,179.99848437309265,3518.0,11.0,3.549999952316284,0.0,276.0,100.56,50.0
344064.0,188.70985960960388,3694.0,16.0,3.4000000953674316,0.0,190.0,94.42,44.0
360448.0,197.49311590194702,3861.0,16.0,3.2899999618530273,0.0,284.0,101.05,34.0
376832.0,206.2286548614502,4011.0,15.0,3.5,0.0,229.0,102.2,40.0
393216.0,215.1822853088379,4175.0,13.0,3.609999895095825,0.0,235.0,98.58,49.0
409600.0,224.01837825775146,4337.0,17.0,4.340000152587891,0.0,269.0,105.21,35.0
425984.0,232.83442854881287,4499.0,16.0,3.4800000190734863,0.0,218.0,101.26,15.0
442368.0,241.6634759902954,4657.0,25.0,4.079999923706055,0.0,323.0,103.29,36.0
458752.0,250.57886338233948,4819.0,15.0,3.8299999237060547,0.0,235.0,101.57,46.0
475136.0,259.4012756347656,4981.0,19.0,3.7899999618530273,0.0,250.0,96.99,55.0
491520.0,268.2325623035431,5141.0,20.0,4.539999961853027,0.0,251.0,102.71,42.0
507904.0,277.04093194007874,5298.0,16.0,3.859999895095825,0.0,246.0,100.77,43.0
524288.0,285.82492446899414,5451.0,19.0,4.480000019073486,0.0,230.0,105.21,44.0
540672.0,294.5765941143036,5611.0,19.0,4.440000057220459,0.0,313.0,105.42,39.0
557056.0,303.54974818229675,5767.0,15.0,4.239999771118164,0.0,281.0,98.73,36.0
573440.0,312.3908631801605,5916.0,16.0,4.880000114440918,0.0,248.0,105.95,37.0
589824.0,321.15905809402466,6060.0,24.0,5.619999885559082,0.0,324.0,112.42,45.0
606208.0,329.9513039588928,6209.0,24.0,5.659999847412109,0.0,276.0,109.27,40.0
622592.0,338.74943137168884,6345.0,22.0,6.159999847412109,0.0,208.0,110.92,41.0
638976.0,347.74532175064087,6479.0,23.0,6.619999885559082,0.0,315.0,120.47,44.0
655360.0,356.5609574317932,6612.0,30.0,6.539999961853027,0.0,344.0,125.8,34.0
671744.0,365.3438355922699,6751.0,23.0,6.570000171661377,0.0,355.0,124.81,40.0
688128.0,374.1589014530182,6888.0,35.0,6.599999904632568,0.0,478.0,118.9,55.0
704512.0,383.1125268936157,7030.0,26.0,6.440000057220459,0.0,331.0,119.42,28.0
720896.0,391.86674189567566,7165.0,42.0,6.829999923706055,0.0,536.0,120.31,42.0
737280.0,400.6698546409607,7297.0,20.0,5.670000076293945,0.0,237.0,118.6,44.0
753664.0,409.4125406742096,7437.0,47.0,6.389999866485596,0.0,528.0,117.15,26.0
770048.0,418.2635705471039,7562.0,26.0,6.800000190734863,0.0,236.0,121.39,54.0
786432.0,427.0728693008423,7704.0,23.0,6.230000019073486,0.0,341.0,117.61,49.0
802816.0,435.84753489494324,7832.0,33.0,7.550000190734863,0.0,443.0,129.73,50.0
819200.0,444.6028528213501,7954.0,24.0,7.329999923706055,0.0,346.0,125.7,49.0
835584.0,453.5950367450714,8079.0,22.0,7.329999923706055,0.0,322.0,121.53,16.0
851968.0,462.762326002121,8207.0,34.0,7.849999904632568,0.0,479.0,127.68,42.0
868352.0,471.53823590278625,8354.0,27.0,6.360000133514404,0.0,357.0,117.17,45.0
